qseqid	saccver	staxids	sscinames	pident	length	qcovs	evalue	bitscore	stitle	is_human_TENT	human_TENT
NP_001018181.1	XP_047290433.1	0	N/A	39.233	339	48	6.62e-66	227	terminal nucleotidyltransferase 4B isoform X6 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_011521580.1	0	N/A	39.233	339	48	6.76e-66	228	terminal nucleotidyltransferase 4B isoform X5 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001035374.2	0	N/A	38.701	354	50	2.05e-65	231	terminal nucleotidyltransferase 4B isoform a [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_011521577.1	0	N/A	38.701	354	50	2.09e-65	231	terminal nucleotidyltransferase 4B isoform X1 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001035375.2	0	N/A	38.701	354	50	2.23e-65	230	terminal nucleotidyltransferase 4B isoform b [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_011521578.1	0	N/A	38.701	354	50	2.27e-65	230	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_047290432.1	0	N/A	38.701	354	50	4.18e-65	229	terminal nucleotidyltransferase 4B isoform X4 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001352252.1	0	N/A	38.701	354	50	4.78e-65	230	terminal nucleotidyltransferase 4B isoform c [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_001352253.1	0	N/A	38.701	354	50	6.75e-65	230	terminal nucleotidyltransferase 4B isoform d [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	XP_047290431.1	0	N/A	38.701	354	50	8.43e-65	229	terminal nucleotidyltransferase 4B isoform X3 [Homo sapiens]	TRUE	TENT4B
NP_001018181.1	NP_008930.2	0	N/A	39.185	319	46	3.04e-62	224	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	NP_001165276.2	0	N/A	39.185	319	46	4.41e-62	223	terminal nucleotidyltransferase 4A isoform 2 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272622.1	0	N/A	39.61	308	44	3.28e-60	213	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272621.1	0	N/A	39.61	308	44	3.28e-60	213	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272620.1	0	N/A	39.61	308	44	3.28e-60	213	terminal nucleotidyltransferase 4A isoform X1 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272623.1	0	N/A	39.13	299	43	4.25e-56	202	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_016864477.1	0	N/A	39.13	299	43	4.25e-56	202	terminal nucleotidyltransferase 4A isoform X2 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	XP_047272624.1	0	N/A	39.13	299	43	4.85e-56	201	terminal nucleotidyltransferase 4A isoform X3 [Homo sapiens]	TRUE	TENT4A
NP_001018181.1	NP_001375061.1	0	N/A	24.537	216	27	5.78e-11	67.8	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272811.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272810.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272809.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375058.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375057.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375056.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375055.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375054.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375053.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375052.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375051.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375050.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375049.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375048.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375047.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375046.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375045.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375044.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375043.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001336483.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001284673.1	0	N/A	24.537	216	27	6.96e-11	67.8	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375059.1	0	N/A	24.537	216	27	7.18e-11	67.8	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375065.1	0	N/A	24.201	219	27	1.24e-10	66.2	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001317647.1	0	N/A	27.869	183	26	1.77e-10	67	terminal uridylyltransferase 7 isoform 3 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_047272808.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272807.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272806.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_776158.2	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375041.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375040.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375039.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375038.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375037.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375036.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375035.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375034.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375032.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375031.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001336482.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001336481.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001107866.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001107865.1	0	N/A	24.091	220	27	2.25e-10	66.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375060.1	0	N/A	24.091	220	27	2.38e-10	65.9	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375042.1	0	N/A	24.091	220	27	2.45e-10	65.9	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047279825.1	0	N/A	27.869	183	26	3.6e-10	66.2	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_047279824.1	0	N/A	27.869	183	26	3.6e-10	66.2	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_005252264.1	0	N/A	27.869	183	26	3.6e-10	66.2	terminal uridylyltransferase 7 isoform X6 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_011517318.1	0	N/A	27.869	183	26	3.87e-10	66.2	terminal uridylyltransferase 7 isoform X5 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_016870620.1	0	N/A	27.869	183	26	3.9e-10	66.2	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_016870619.1	0	N/A	27.869	183	26	3.9e-10	66.2	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	NP_078893.2	0	N/A	27.869	183	26	3.9e-10	66.2	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	NP_001171988.1	0	N/A	27.869	183	26	3.9e-10	66.2	terminal uridylyltransferase 7 isoform 1 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	NP_001375030.1	0	N/A	24.645	211	26	3.98e-10	65.5	poly(A) RNA polymerase GLD2 isoform 9 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047279823.1	0	N/A	27.869	183	26	4.58e-10	65.9	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_006717346.1	0	N/A	27.869	183	26	4.58e-10	65.9	terminal uridylyltransferase 7 isoform X2 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_011517317.1	0	N/A	27.869	183	26	5.07e-10	65.9	terminal uridylyltransferase 7 isoform X3 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_005252265.1	0	N/A	27.869	183	26	5.58e-10	65.5	terminal uridylyltransferase 7 isoform X7 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_011517316.1	0	N/A	27.869	183	26	5.92e-10	65.5	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_011517315.1	0	N/A	27.869	183	26	5.92e-10	65.5	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_011517314.1	0	N/A	27.869	183	26	5.92e-10	65.5	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	XP_011517313.1	0	N/A	27.869	183	26	5.92e-10	65.5	terminal uridylyltransferase 7 isoform X1 [Homo sapiens]	TRUE	Tut7
NP_001018181.1	NP_001336477.1	0	N/A	26.316	171	21	7.94e-10	62.8	poly(A) RNA polymerase GLD2 isoform 4 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375029.1	0	N/A	24.186	215	26	1.54e-09	63.5	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375028.1	0	N/A	24.186	215	26	1.54e-09	63.5	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272820.1	0	N/A	26.282	156	19	2.08e-09	61.2	poly(A) RNA polymerase GLD2 isoform X11 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272805.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272804.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272803.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272802.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_016864641.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375026.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375025.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375024.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001336480.1	0	N/A	26.797	153	18	4.35e-09	62	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	NP_001375027.1	0	N/A	26.797	153	18	4.41e-09	62	poly(A) RNA polymerase GLD2 isoform 7 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272801.1	0	N/A	26.797	153	18	5.44e-09	61.6	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_047272800.1	0	N/A	26.797	153	18	5.44e-09	61.6	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_011541527.1	0	N/A	26.797	153	18	5.44e-09	61.6	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_011541526.1	0	N/A	26.797	153	18	5.44e-09	61.6	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_011541523.1	0	N/A	26.797	153	18	5.44e-09	61.6	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001018181.1	XP_011541522.1	0	N/A	26.797	153	18	5.44e-09	61.6	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272808.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272807.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272806.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_776158.2	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375041.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375040.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375039.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375038.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375037.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375036.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375035.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375034.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375032.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375031.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336482.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336481.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001107866.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001107865.1	0	N/A	100	484	100	0	1000	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375042.1	0	N/A	99.793	484	100	0	993	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375029.1	0	N/A	97.773	494	100	0	989	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375028.1	0	N/A	97.773	494	100	0	989	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272811.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272810.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272809.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375058.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375057.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375056.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375055.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375054.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375053.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375052.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375051.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375050.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375049.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375048.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375047.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375046.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375045.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375044.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375043.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336483.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001284673.1	0	N/A	99.174	484	100	0	985	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272801.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272800.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541527.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541526.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541523.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_011541522.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375023.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375022.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336479.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001336478.1	0	N/A	94.892	509	100	0	984	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375059.1	0	N/A	98.967	484	100	0	978	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375030.1	0	N/A	96.964	494	100	0	974	poly(A) RNA polymerase GLD2 isoform 9 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272805.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272804.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272803.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_047272802.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	XP_016864641.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375026.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
NP_001107865.1	NP_001375025.1	0	N/A	94.106	509	100	0	969	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]	TRUE	TENT2
